Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
27-63-0-3-5-5-169-easy
8-38-0-3-10-5-170-easy
3-26-0-3-15-5-171-easy
14-16-0-3-20-5-172-easy
10-24-0-3-25-5-173-easy
10-24-0-3-30-5-174-easy
17-53-0-3-35-5-175-easy
13-67-0-3-40-5-176-easy
3-70-0-3-45-5-177-easy
3-81-0-3-50-5-178-normal
8-91-0-3-55-5-179-normal
11-96-0-3-60-5-180-normal
11-90-0-3-65-5-181-normal
1-64-0-3-71-5-182-normal
1-66-0-3-76-5-183-normal
1-61-0-3-81-5-184-normal
3-61-0-3-86-5-185-normal
3-66-0-3-91-5-186-normal
7-63-0-3-96-5-187-normal
13-70-0-3-101-5,407349-188-normal
8-61-0-3-107-5,49985-189-normal
16-63-0-3-112-5,499998-190-normal
21-43-0-2-118-5,499998-191-normal
34-40-0-2-123-5,499998-192-normal
34-40-0-2-129-5,499998-193-normal
34-40-0-2-135-5,499998-194-normal
26-47-0-2-140-5,499998-195-normal
24-50-0-1-146-5,499998-196-normal
40-64-0-1-151-5,499998-197-normal
40-64-0-1-157-6,892315-198-normal
38-60-0-1-164-6,999826-199-normal
48-61-0-1-172-6,999998-200-normal
34-51-0-1-179-6,999998-201-normal
34-51-0-1-186-6,999998-202-normal
48-21-0-1-193-6,999998-203-normal
47-17-0-1-200-6,999998-204-normal
64-35-0-1-207-6,999998-205-normal
78-43-0-1-214-6,999998-206-normal
87-56-0-1-221-6,999998-207-normal
84-67-0-1-229-8,944374-208-hard
69-56-0-1-238-8,99991-209-hard
53-61-0-1-248-8,999996-210-hard
53-61-0-1-257-8,999996-211-hard
48-30-0-1-266-8,999996-212-hard
66-37-0-1-275-8,999996-213-hard
78-41-0-1-284-8,999996-214-hard
97-48-0-1-293-8,999996-216-hard
80-47-0-1-302-8,999996-217-hard
81-43-0-1-312-8,999996-218-hard
87-44-0-1-321-8,999996-219-normal
93-48-0-1-330-8,999996-220-normal
100-64-0-1-339-8,999996-221-normal
100-70-0-1-348-8,999996-222-normal
91-70-0-1-357-8,999996-223-normal
90-74-0-1-366-8,999996-224-normal
87-69-0-1-376-8,999996-225-normal
74-53-0-1-385-8,999996-226-normal
97-53-0-1-394-8,999996-227-normal
78-56-0-1-403-8,999996-228-normal
63-51-0-1-412-8,502576-229-hard
60-74-0-1-420-8,500004-230-hard
41-90-0-2-429-8,500004-231-hard
41-80-0-2-437-8,500004-232-hard
44-67-0-2-446-8,500004-233-hard
30-61-0-2-455-8,500004-234-hard
48-44-0-2-463-8,500004-235-hard
67-50-0-2-472-8,500004-236-hard
77-66-0-2-481-8,500004-237-hard
87-66-0-2-489-8,500004-238-hard
70-57-0-2-498-8,500004-239-normal
66-50-0-2-506-8,500004-240-normal
64-41-0-2-515-8,500004-241-normal
77-54-0-2-524-8,500004-242-normal
90-53-0-2-532-8,500004-243-normal
96-51-0-2-541-8,500004-244-normal
84-50-0-2-549-8,500004-245-normal
80-66-0-2-558-8,500004-246-normal
64-74-0-2-567-8,500004-247-normal
61-87-0-2-575-8,364503-248-hard
75-78-0-2-583-8,000654-249-hard
77-54-0-2-591-8,000004-250-hard
80-60-0-2-600-8,000004-251-hard
75-64-0-2-608-8,000004-252-hard
67-90-0-2-616-8,000004-253-hard
81-88-0-2-624-8,000004-254-hard
84-80-0-2-632-8,000004-255-hard
84-80-0-2-640-8,000004-256-hard
100-47-0-2-648-8,000004-257-hard
93-66-0-2-656-8,976984-258-hard
87-77-0-2-666-9,499155-259-hard
77-66-0-2-676-9,499996-260-hard
70-75-0-2-685-9,499996-261-hard
67-70-0-2-695-9,499996-262-hard
63-56-0-2-705-9,499996-263-hard
64-64-0-3-714-9,499996-264-hard
64-64-0-3-724-9,499996-265-hard
77-56-0-3-733-9,499996-266-hard
87-56-0-1-743-9,499996-267-hard
88-53-0-0-752-2,439-268-hard
84-40-0-0-752-8,98939-269-hard
43-44-0-0-752-8,999983-270-hard
34-48-0-0-752-8,999996-271-hard
34-48-0-0-752-8,999996-272-hard
34-48-0-0-752-8,999996-273-hard
