Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
50,29,0,3,5,5,62,easy
67,40,0,3,10,5,63,easy
77,51,0,3,16,5,64,easy
64,40,0,3,21,5,65,easy
100,34,0,3,26,5,66,easy
100,34,0,3,31,5,67,easy
70,21,0,3,36,5,69,easy
70,21,0,3,41,5,70,easy
48,4,0,3,46,5,71,easy
26,4,0,3,52,7,333044,72,normal
41,7,0,3,60,8,367028,73,normal
27,16,0,3,69,8,398981,74,normal
53,14,0,3,77,8,399972,75,normal
51,34,0,3,86,8,399996,76,normal
30,24,0,3,95,8,399996,77,normal
54,43,0,3,103,8,399996,78,normal
63,54,0,3,112,8,399996,79,normal
84,43,0,3,120,8,399996,80,normal
91,54,0,3,129,8,399996,81,normal
63,24,0,3,138,9,399874,82,normal
63,24,0,3,147,9,594435,83,normal
67,21,0,3,157,9,599875,84,normal
78,34,0,3,167,9,599997,85,normal
100,60,0,3,177,9,599997,86,normal
93,75,0,3,187,9,599997,87,normal
83,87,0,3,197,9,599997,88,normal
78,69,0,3,207,9,599997,89,normal
77,48,0,3,216,9,599997,90,normal
57,37,0,3,226,9,599997,91,normal
47,13,0,3,235,8,469778,92,normal
47,14,0,3,244,8,401571,93,normal
43,30,0,3,253,8,400046,94,normal
40,30,0,3,261,8,400003,95,normal
50,51,0,3,270,8,400003,96,normal
54,53,0,3,278,8,400003,97,normal
78,40,0,3,287,8,400003,98,normal
63,23,0,3,296,8,400003,99,normal
64,37,0,3,304,8,400003,100,normal
74,30,0,3,313,8,400003,101,normal
69,40,0,3,322,10,14437,102,hard
84,57,0,3,333,10,19828,103,hard
88,40,0,3,343,10,19997,104,hard
88,53,0,3,354,10,2,105,hard
70,51,0,3,364,10,2,106,hard
60,43,0,3,375,10,2,107,hard
53,64,0,3,385,10,2,108,hard
50,66,0,3,396,10,2,109,hard
67,43,0,3,406,10,2,110,hard
93,34,0,3,417,10,76227,111,hard
100,20,0,3,428,11,38563,113,hard
100,10,0,3,440,11,39968,114,hard
96,37,0,3,451,11,39999,115,hard
57,27,0,3,463,11,4,116,hard
40,10,0,3,475,11,4,117,hard
37,23,0,3,486,11,4,118,hard
53,13,0,3,498,11,4,119,hard
75,40,0,3,509,11,4,120,hard
75,40,0,3,521,11,4,121,hard
74,57,0,2,532,10,53891,122,hard
40,54,0,2,543,10,20618,123,hard
29,35,0,2,553,10,20019,124,hard
20,7,0,2,563,10,2,125,hard
27,1,0,2,574,10,2,126,hard
43,1,0,2,584,10,2,127,hard
41,16,0,2,595,10,2,128,hard
50,38,0,2,605,10,2,129,hard
50,43,0,2,615,10,2,130,hard
54,44,0,2,625,10,2,131,hard
69,35,0,2,636,9,711182,132,hard
57,20,0,2,646,9,602785,133,hard
57,14,0,2,655,9,600051,134,hard
64,7,0,2,665,9,600004,135,hard
61,23,0,2,675,9,600004,136,hard
88,43,0,2,685,9,600004,137,hard
87,50,0,2,695,9,600004,138,hard
87,40,0,2,704,9,600004,139,hard
78,35,0,2,714,9,600004,140,hard
80,38,0,2,724,9,600004,141,hard
80,51,0,2,734,10,70428,142,hard
77,57,0,2,745,10,7976,143,hard
78,74,0,2,756,10,79993,144,hard
80,70,0,2,767,10,8,145,hard
70,69,0,2,778,10,8,146,hard
75,43,0,1,790,10,8,147,hard
78,40,0,1,801,10,8,148,hard
64,26,0,1,812,10,8,149,hard
78,23,0,1,823,10,8,150,hard
70,48,0,1,834,10,8,151,hard
63,44,0,2,844,10,21854,152,hard
77,63,0,2,855,10,20057,153,hard
70,74,0,2,865,10,20001,154,hard
69,75,0,2,876,10,2,155,hard
80,69,0,2,886,10,2,156,hard
74,67,0,2,897,10,2,157,hard
69,70,0,2,907,10,2,158,hard
69,70,0,2,918,10,2,159,hard
75,60,0,2,928,10,2,160,hard
56,50,0,2,939,9,787321,161,hard
44,53,0,2,948,9,024329,163,hard
50,40,0,2,957,9,000676,164,hard
56,44,0,2,967,9,000014,165,hard
67,66,0,2,976,9,000004,166,hard
77,64,0,2,985,9,000004,167,hard
64,78,0,2,994,9,000004,168,hard
64,78,0,2,1003,9,000004,169,hard
43,75,0,2,1012,9,000004,170,hard
26,70,0,2,1021,9,000004,171,hard
35,53,0,2,1030,8,316561,172,normal
35,53,0,2,1038,7,807635,173,normal
66,60,0,2,1046,7,800191,174,normal
64,87,0,2,1054,7,800004,175,normal
38,84,0,2,1062,7,800002,176,normal
38,70,0,2,1070,7,800002,177,normal
34,57,0,2,1078,7,800002,178,normal
43,38,0,2,1086,7,800002,179,normal
74,27,0,2,1094,7,800002,180,normal
66,35,0,2,1101,7,800002,181,normal
75,13,0,2,1110,9,142466,182,hard
78,40,0,2,1120,9,585862,183,hard
78,40,0,2,1129,9,599683,184,hard
60,44,0,2,1139,9,599992,185,hard
43,53,0,2,1149,9,599997,186,hard
43,47,0,2,1159,9,599997,187,hard
34,54,0,2,1169,9,599997,188,hard
