Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
56,81,0,3,5,5,13,easy
84,87,0,3,10,5,14,easy
81,75,0,3,15,5,15,easy
70,51,0,3,21,5,16,easy
84,54,0,3,26,5,17,easy
84,56,0,3,31,5,18,easy
88,54,0,3,36,5,19,easy
94,66,0,3,41,5,20,easy
87,81,0,3,46,5,21,easy
63,90,0,3,52,8,777665,22,expert
61,90,0,3,62,10,73056,23,expert
63,83,0,3,73,10,79859,24,expert
66,74,0,3,84,10,79996,25,expert
90,61,0,3,95,10,8,26,expert
93,70,0,3,106,10,8,27,expert
84,80,0,3,117,10,8,28,expert
80,78,0,3,128,10,8,29,expert
63,93,0,3,139,10,8,30,expert
53,78,0,3,150,10,8,31,expert
54,83,0,3,161,9,333542,32,hard
60,66,0,3,170,9,010306,33,hard
67,56,0,3,180,9,000286,34,hard
81,63,0,3,189,9,000008,35,hard
77,56,0,3,198,9,000004,36,hard
69,60,0,3,207,9,000004,37,hard
75,51,0,3,216,9,000004,38,hard
75,35,0,3,225,9,000004,39,hard
81,34,0,3,234,9,000004,40,hard
96,43,0,3,243,9,000004,41,hard
88,30,0,2,253,10,64047,42,hard
78,56,0,2,264,10,79764,43,hard
78,54,0,2,275,10,79994,44,hard
70,60,0,2,286,10,8,45,hard
75,80,0,2,297,10,8,46,hard
90,77,0,2,308,10,8,47,hard
93,81,0,2,320,10,8,48,hard
90,77,0,2,331,10,8,49,hard
87,90,0,2,342,10,8,50,hard
88,91,0,2,353,10,8,51,hard
80,67,0,2,364,11,37457,52,expert
66,47,0,2,376,11,39949,53,expert
63,47,0,2,388,11,39999,54,expert
43,38,0,1,399,11,4,55,expert
66,56,0,1,411,11,4,56,expert
83,63,0,1,423,11,4,57,expert
69,66,0,1,434,11,4,58,expert
87,87,0,1,446,11,4,59,expert
74,93,0,1,458,11,4,61,expert
61,80,0,1,470,10,55659,62,hard
80,70,0,1,479,9,619394,63,hard
74,54,0,1,489,9,600539,64,hard
70,41,0,1,499,9,600013,65,hard
88,53,0,1,509,9,600004,66,hard
88,53,0,1,518,9,600004,67,hard
100,48,0,1,528,9,600004,68,hard
100,54,0,1,538,9,600004,69,hard
100,64,0,1,548,9,600004,70,hard
93,81,0,1,557,9,600004,71,hard
83,94,0,1,567,10,22605,72,expert
83,100,0,1,578,10,78953,73,expert
83,88,0,1,589,10,79968,74,expert
80,77,0,1,600,10,79999,75,expert
78,69,0,1,611,10,8,76,expert
81,61,0,1,622,10,8,77,expert
78,66,0,1,633,10,8,78,expert
87,69,0,1,644,10,8,79,expert
81,83,0,0,652,6,615859,80,expert
69,91,0,0,652,10,68363,81,expert
64,97,0,0,652,10,79788,82,expert
61,84,0,0,652,10,79995,83,expert
64,74,0,0,652,10,8,84,expert
70,66,0,0,652,10,8,85,expert
