Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
38,63,0,3,5,5,31,easy
54,75,0,3,10,5,32,easy
69,90,0,3,15,5,33,easy
60,83,0,3,21,5,34,easy
48,56,0,3,26,5,35,easy
48,56,0,3,31,5,36,easy
56,51,0,3,36,5,37,easy
64,54,0,3,41,5,38,easy
80,67,0,3,46,5,39,easy
60,67,0,3,52,9,161909,40,hard
74,66,0,3,63,10,74938,41,hard
81,51,0,3,74,10,79873,42,hard
94,47,0,3,85,10,79997,43,hard
100,48,0,3,96,10,8,44,hard
78,38,0,3,107,10,8,45,hard
57,40,0,3,118,10,8,46,hard
44,56,0,3,129,10,8,47,hard
30,60,0,3,141,10,8,48,hard
53,63,0,3,151,10,8,49,hard
60,74,0,3,162,9,243153,50,hard
43,67,0,3,171,9,003993,51,hard
27,51,0,3,180,9,000123,52,hard
14,43,0,3,189,9,000004,53,hard
17,53,0,3,198,9,000004,54,hard
24,66,0,3,208,9,000004,55,hard
35,94,0,3,217,9,000004,56,hard
47,100,0,3,226,9,000004,57,hard
43,96,0,3,235,9,000004,58,hard
41,87,0,3,244,9,000004,59,hard
44,83,0,3,253,8,438766,60,hard
44,75,0,3,262,8,401077,61,hard
54,78,0,3,270,8,400023,62,hard
61,70,0,3,279,8,400003,63,hard
57,70,0,3,287,8,400003,64,hard
57,75,0,3,296,8,400003,65,hard
50,70,0,3,304,8,400003,66,hard
57,64,0,3,313,8,400003,67,hard
57,61,0,3,321,8,400003,68,hard
51,51,0,3,330,8,400003,69,hard
48,40,0,3,338,8,400003,70,normal
35,30,0,3,347,8,400003,71,normal
38,48,0,3,356,8,400003,72,normal
48,66,0,3,364,8,400003,73,normal
53,83,0,3,373,8,400003,74,normal
57,91,0,3,382,8,400003,75,normal
51,77,0,3,390,8,400003,76,normal
53,69,0,3,399,8,400003,78,normal
51,61,0,3,407,8,400003,79,normal
51,61,0,3,416,8,562603,80,hard
51,61,0,3,425,8,990146,81,hard
69,57,0,3,434,8,999839,82,hard
69,57,0,3,443,8,999996,83,hard
67,70,0,3,452,8,999996,84,hard
63,88,0,3,462,8,999996,85,hard
47,87,0,3,471,8,999996,86,hard
48,78,0,3,480,8,999996,87,hard
44,67,0,3,489,8,999996,88,hard
48,63,0,3,498,8,999996,89,hard
54,64,0,3,507,8,999996,90,hard
60,78,0,3,517,8,999996,91,hard
64,78,0,3,526,8,999996,92,hard
56,63,0,3,535,8,999996,93,hard
56,51,0,3,544,8,999996,94,hard
35,51,0,3,553,8,999996,95,hard
24,35,0,3,562,8,999996,96,hard
30,41,0,3,572,8,999996,97,hard
41,41,0,3,581,8,999996,98,hard
57,41,0,3,590,8,999996,99,hard
74,48,0,3,599,9,925479,100,hard
67,51,0,3,610,10,19635,101,hard
57,74,0,3,620,10,19992,102,hard
53,63,0,3,631,10,2,103,hard
48,77,0,3,641,10,2,104,hard
51,80,0,3,651,10,2,105,hard
50,74,0,3,662,10,2,106,hard
60,80,0,3,672,10,2,107,hard
56,83,0,3,683,10,2,108,hard
61,87,0,3,693,10,2,109,hard
69,83,0,3,703,9,653177,110,expert
61,83,0,3,713,9,60148,111,expert
56,74,0,3,722,9,600024,112,expert
50,61,0,3,732,9,600004,113,expert
61,53,0,3,742,9,600004,114,expert
60,66,0,3,752,9,600004,115,expert
54,44,0,3,762,9,600004,116,expert
56,50,0,3,771,9,600004,117,expert
35,38,0,3,781,9,600004,118,expert
35,29,0,3,791,9,600004,119,expert
43,44,0,3,800,7,884782,120,normal
41,50,0,3,808,7,802122,121,normal
43,64,0,3,816,7,800048,122,normal
51,64,0,3,824,7,800002,123,normal
47,75,0,3,832,7,800002,124,normal
50,87,0,3,840,7,800002,125,normal
60,91,0,3,848,7,800002,126,normal
48,100,0,3,856,7,800002,128,normal
53,91,0,3,864,7,800002,129,normal
51,87,0,3,872,7,920002,130,hard
50,84,0,3,881,8,966625,131,hard
43,83,0,3,890,8,998969,132,hard
43,83,0,3,899,8,999986,133,hard
37,83,0,3,909,8,999996,134,hard
41,87,0,3,918,8,999996,135,hard
43,70,0,3,927,8,999996,136,hard
30,67,0,3,936,8,999996,137,hard
35,74,0,3,945,8,999996,138,hard
35,74,0,3,954,8,999996,139,hard
38,63,0,3,963,8,373954,140,hard
38,66,0,3,972,7,811637,141,hard
40,51,0,3,980,7,80036,142,hard
43,74,0,3,988,7,80001,143,hard
44,61,0,3,996,7,800002,144,hard
47,67,0,3,1003,7,800002,145,hard
48,69,0,3,1011,7,800002,146,hard
40,60,0,3,1019,7,800002,147,hard
27,54,0,3,1027,7,800002,148,hard
34,63,0,3,1035,7,800002,149,hard
43,66,0,3,1043,7,800002,150,normal
60,60,0,3,1051,7,800002,151,normal
70,75,0,3,1059,7,800002,152,normal
64,80,0,3,1067,7,800002,153,normal
69,77,0,3,1075,7,800002,154,normal
66,87,0,3,1083,7,800002,155,normal
64,75,0,3,1091,7,800002,156,normal
64,69,0,3,1099,7,800002,157,normal
64,69,0,3,1107,7,800002,158,normal
38,70,0,3,1115,7,800002,159,normal
34,66,0,3,1123,7,800002,160,hard
23,54,0,3,1131,7,800002,161,hard
29,54,0,3,1139,7,800002,162,hard
44,61,0,3,1147,7,800002,163,hard
41,63,0,3,1155,7,800002,164,hard
57,75,0,3,1163,7,800002,165,hard
56,75,0,3,1170,7,800002,166,hard
51,74,0,3,1178,7,800002,167,hard
53,78,0,3,1187,7,800002,168,hard
53,78,0,3,1195,7,800002,169,hard
44,84,0,3,1203,8,930221,170,hard
40,81,0,3,1212,8,997844,171,hard
43,67,0,3,1222,8,999953,172,hard
44,61,0,3,1231,8,999996,173,hard
37,57,0,3,1240,8,999996,175,hard
54,53,0,3,1249,8,999996,176,hard
60,54,0,3,1258,8,999996,177,hard
63,60,0,3,1268,8,999996,178,hard
63,60,0,3,1277,8,999996,179,hard
63,60,0,3,1286,8,999996,180,hard
51,64,0,3,1296,9,581458,181,hard
57,50,0,3,1306,9,599537,182,hard
77,57,0,3,1315,9,599988,183,hard
78,70,0,3,1325,9,599997,184,hard
78,84,0,3,1335,9,599997,185,hard
63,80,0,3,1345,9,599997,186,hard
57,74,0,3,1355,9,599997,187,hard
56,67,0,3,1364,9,599997,188,hard
47,69,0,3,1374,9,599997,189,hard
60,67,0,2,1384,9,599997,190,hard
48,61,0,2,1394,9,599997,191,hard
43,53,0,2,1404,9,599997,192,hard
43,29,0,2,1414,9,599997,193,hard
44,17,0,2,1423,9,599997,194,hard
75,27,0,2,1433,9,599997,195,hard
83,38,0,2,1443,9,599997,196,hard
90,51,0,2,1453,9,599997,197,hard
83,50,0,2,1463,9,599997,198,hard
64,60,0,2,1473,9,599997,199,hard
47,61,0,2,1482,8,705022,200,hard
47,61,0,2,1491,8,409426,201,hard
56,96,0,2,1499,8,400154,202,hard
53,90,0,2,1508,8,400003,203,hard
54,81,0,2,1516,8,400003,204,hard
53,78,0,2,1525,8,400003,205,hard
53,57,0,2,1533,8,400003,206,hard
57,60,0,2,1542,8,400003,207,hard
74,64,0,2,1551,8,400003,208,hard
70,60,0,2,1559,8,400003,209,hard
70,69,0,2,1568,9,956847,210,hard
75,61,0,2,1579,10,19391,211,hard
75,61,0,2,1589,10,19985,212,hard
69,56,0,2,1599,10,2,213,hard
61,63,0,2,1610,10,2,214,hard
47,56,0,2,1620,10,2,215,hard
48,48,0,2,1630,10,2,216,hard
43,54,0,2,1641,10,2,217,hard
48,44,0,2,1651,10,2,218,hard
43,43,0,2,1661,10,2,219,hard
47,51,0,2,1671,8,484782,220,normal
54,48,0,2,1680,8,401015,221,normal
44,53,0,2,1688,8,400027,222,normal
57,69,0,2,1697,8,400003,223,normal
35,61,0,2,1705,8,400003,224,normal
41,63,0,2,1714,8,400003,225,normal
35,69,0,2,1722,8,400003,227,normal
29,81,0,2,1731,8,400003,228,normal
48,100,0,2,1739,8,400003,229,normal
53,100,0,2,1748,8,400003,230,normal
54,100,0,2,1757,8,977109,231,expert
51,96,0,2,1766,8,999662,232,expert
37,91,0,2,1775,8,999996,233,expert
40,77,0,2,1784,8,999996,234,expert
41,77,0,2,1794,8,999996,235,expert
54,78,0,2,1803,8,999996,236,expert
51,57,0,2,1812,8,999996,237,expert
43,56,0,2,1821,8,999996,238,expert
44,61,0,2,1830,8,999996,239,expert
30,53,0,2,1840,8,674797,240,normal
48,74,0,1,1848,7,827034,241,normal
50,74,0,1,1856,7,800836,242,normal
44,57,0,1,1864,7,800021,243,normal
53,56,0,1,1872,7,800002,244,normal
57,37,0,1,1880,7,800002,245,normal
61,40,0,1,1888,7,800002,246,normal
64,53,0,1,1896,7,800002,247,normal
75,60,0,2,1903,7,800002,248,normal
61,84,0,2,1911,7,800002,249,normal
53,94,0,2,1919,8,535096,250,hard
50,91,0,2,1928,8,98707,251,hard
41,91,0,2,1938,8,999678,252,hard
43,80,0,2,1947,8,99999,253,hard
48,61,0,2,1956,8,999996,254,hard
54,66,0,2,1965,8,999996,255,hard
48,67,0,2,1974,8,999996,256,hard
56,70,0,2,1983,8,999996,257,hard
61,77,0,2,1993,8,999996,258,hard
57,69,0,2,2002,8,999996,259,hard
66,64,0,2,2011,9,462739,260,hard
67,43,0,2,2021,9,596563,261,hard
69,47,0,2,2031,9,599905,262,hard
69,47,0,2,2041,9,599997,263,hard
53,51,0,2,2050,9,599997,264,hard
51,50,0,2,2060,9,599997,265,hard
51,43,0,2,2070,9,599997,266,hard
51,43,0,2,2080,9,599997,267,hard
57,60,0,2,2089,9,599997,268,hard
54,77,0,2,2099,9,599997,269,hard
51,80,0,2,2109,9,081051,270,hard
53,63,0,2,2118,9,001826,271,hard
57,64,0,2,2127,9,000046,272,hard
70,51,0,2,2136,9,000004,273,hard
61,66,0,2,2145,9,000004,274,hard
64,77,0,2,2154,9,000004,275,hard
61,80,0,2,2163,9,000004,276,hard
70,81,0,2,2173,9,000004,277,hard
81,67,0,2,2182,9,000004,278,hard
74,77,0,2,2191,9,000004,280,hard
66,78,0,2,2201,10,1372,281,expert
50,81,0,2,2211,10,19843,282,expert
41,77,0,2,2222,10,19997,283,expert
35,70,0,2,2232,10,2,284,expert
40,63,0,2,2243,10,2,285,expert
35,51,0,2,2253,10,2,286,expert
37,47,0,2,2263,10,2,287,expert
29,44,0,2,2273,10,2,288,expert
30,48,0,2,2284,10,2,289,expert
43,56,0,2,2294,10,2,290,expert
44,67,0,2,2303,8,468674,291,normal
60,63,0,2,2312,8,401392,292,normal
63,60,0,2,2321,8,400038,293,normal
53,67,0,2,2329,8,400003,294,normal
56,63,0,2,2338,8,400003,295,normal
56,78,0,2,2347,8,400003,296,normal
50,69,0,2,2355,8,400003,297,normal
48,60,0,2,2364,8,400003,298,normal
53,60,0,2,2372,8,400003,299,normal
47,51,0,2,2381,8,400003,300,normal
44,63,0,2,2389,8,400003,301,normal
54,63,0,2,2398,8,400003,302,normal
50,63,0,2,2406,8,400003,303,normal
61,66,0,2,2415,8,400003,304,normal
66,67,0,2,2423,8,400003,305,normal
67,61,0,2,2432,8,400003,306,normal
67,61,0,2,2441,8,400003,307,normal
63,77,0,2,2449,8,400003,308,normal
61,83,0,2,2458,8,400003,309,normal
61,83,0,2,2467,9,181588,310,hard
61,74,0,2,2476,9,593817,311,hard
63,63,0,2,2486,9,599861,312,hard
53,41,0,2,2496,9,599997,313,hard
47,13,0,2,2506,9,599997,314,hard
47,17,0,2,2515,9,599997,315,hard
41,11,0,2,2525,9,599997,316,hard
38,3,0,2,2535,9,599997,317,hard
43,17,0,2,2545,9,599997,318,hard
43,27,0,2,2555,9,599997,319,hard
43,23,0,2,2564,8,62236,320,normal
48,50,0,2,2573,8,404057,321,normal
38,47,0,2,2581,8,40009,322,normal
35,47,0,2,2590,8,400003,323,normal
40,57,0,2,2599,8,400003,324,normal
47,63,0,2,2607,8,400003,325,normal
54,66,0,2,2616,8,400003,326,normal
37,48,0,2,2624,8,400003,327,normal
38,57,0,2,2633,8,400003,328,normal
24,40,0,2,2642,8,400003,330,normal
34,41,0,2,2650,7,859087,331,normal
51,48,0,2,2658,7,801826,332,normal
47,30,0,2,2666,7,800041,333,normal
47,54,0,2,2674,7,800002,334,normal
47,61,0,2,2682,7,800002,335,normal
48,69,0,2,2690,7,800002,336,normal
53,81,0,2,2698,7,800002,337,normal
51,70,0,2,2706,7,800002,338,normal
48,70,0,2,2713,7,800002,339,normal
53,78,0,2,2721,7,800002,340,normal
54,70,0,2,2730,8,379397,341,hard
61,67,0,2,2738,8,399364,342,hard
51,67,0,2,2747,8,399988,343,hard
53,64,0,2,2756,8,399996,344,hard
43,50,0,2,2764,8,399996,345,hard
41,51,0,2,2772,8,399996,346,hard
48,41,0,2,2781,8,399996,347,hard
50,51,0,2,2790,8,399996,348,hard
54,41,0,2,2798,8,399996,349,hard
51,53,0,2,2807,8,459996,350,hard
44,34,0,2,2816,8,983312,351,hard
54,24,0,2,2825,8,999583,352,hard
64,44,0,2,2835,8,999988,353,hard
63,44,0,2,2844,8,999996,354,hard
69,67,0,2,2853,8,999996,355,hard
64,67,0,2,2862,8,999996,356,hard
50,64,0,1,2871,8,999996,357,hard
43,47,0,1,2881,8,999996,358,hard
44,38,0,1,2890,8,999996,359,hard
43,30,0,1,2899,8,63245,360,normal
37,37,0,1,2908,8,405819,361,normal
35,30,0,1,2916,8,400161,362,normal
23,37,0,1,2925,8,400003,363,normal
16,47,0,1,2933,8,400003,364,normal
27,34,0,1,2942,8,400003,365,normal
35,48,0,1,2951,8,400003,366,normal
26,43,0,1,2959,8,400003,367,normal
35,23,0,1,2967,8,400003,368,normal
34,41,0,1,2976,8,400003,369,normal
37,48,0,1,2985,7,890057,370,normal
57,60,0,1,2992,7,803092,371,normal
50,61,0,1,3000,7,800077,372,normal
54,41,0,1,3008,7,800002,373,normal
54,21,0,1,3016,7,800002,374,normal
56,24,0,1,3024,7,800002,375,normal
56,24,0,1,3032,7,800002,376,normal
56,70,0,1,3040,7,800002,377,normal
56,74,0,1,3048,7,800002,378,normal
47,56,0,1,3055,7,800002,379,normal
47,53,0,1,3063,8,327054,380,normal
53,48,0,1,3072,8,398802,381,normal
54,66,0,1,3080,8,399973,382,normal
53,75,0,1,3089,8,399996,383,normal
53,69,0,1,3097,8,399996,385,normal
48,67,0,1,3106,8,399996,386,normal
48,67,0,1,3114,8,399996,387,normal
30,67,0,1,3123,8,399996,388,normal
29,48,0,1,3132,8,399996,389,normal
43,47,0,1,3140,8,399996,390,normal
48,37,0,1,3149,8,399996,391,normal
47,20,0,1,3157,8,399996,392,normal
44,43,0,1,3166,8,399996,393,normal
41,57,0,1,3175,8,399996,394,normal
40,70,0,1,3183,8,399996,395,normal
41,80,0,1,3192,8,399996,396,normal
43,74,0,1,3200,8,399996,397,normal
48,69,0,1,3209,8,399996,398,normal
51,64,0,1,3217,8,399996,399,normal
51,64,0,1,3226,8,399996,400,normal
54,69,0,1,3235,8,977109,401,hard
54,57,0,1,3244,8,999485,402,hard
51,60,0,0,3246,8,576088,403,hard
64,67,0,0,3246,8,986901,404,hard
61,67,0,0,3246,8,999552,405,hard
43,56,0,0,3246,8,999996,406,hard
37,64,0,0,3246,8,999996,407,hard
17,80,0,0,3246,8,999996,407,hard
