Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
77,60,0,3,7,5,51,easy
74,63,0,3,12,5,52,easy
43,57,0,3,17,5,53,easy
34,64,0,3,22,5,54,easy
21,56,0,3,27,5,55,easy
34,57,0,3,32,5,56,easy
51,61,0,3,38,5,57,easy
56,50,0,3,43,5,58,easy
88,70,0,3,48,5,59,easy
60,74,0,3,55,9,147007,60,hard
60,78,0,3,65,9,587402,61,hard
60,93,0,3,75,9,599771,62,hard
100,80,0,3,84,9,599994,63,hard
81,77,0,3,94,9,599997,64,hard
80,66,0,3,104,9,599997,65,hard
90,70,0,3,114,9,599997,66,hard
90,70,0,3,123,9,599997,67,hard
83,78,0,3,133,9,599997,68,hard
94,69,0,3,143,9,599997,69,hard
87,66,0,3,154,11,33819,70,expert
80,78,0,3,166,11,39828,71,expert
87,87,0,3,178,11,39995,72,expert
70,94,0,3,189,11,4,73,expert
74,96,0,3,201,11,4,74,expert
88,81,0,3,213,11,4,75,expert
91,77,0,3,224,11,4,76,expert
96,74,0,3,236,11,4,77,expert
90,69,0,3,248,11,4,78,expert
90,84,0,3,259,11,4,79,expert
87,84,0,3,271,11,4,80,expert
83,90,0,3,282,11,4,81,expert
77,88,0,3,294,11,4,82,expert
74,81,0,3,305,11,4,83,expert
64,90,0,3,317,11,4,84,expert
74,88,0,3,329,11,4,85,expert
66,88,0,2,340,11,4,86,expert
69,91,0,1,352,11,4,87,expert
87,81,0,1,364,11,4,88,expert
66,90,0,1,375,10,37484,89,expert
88,94,0,1,385,9,623944,90,expert
88,88,0,1,395,9,600436,91,expert
61,84,0,1,404,9,600009,92,expert
74,78,0,1,414,9,600004,93,expert
37,48,0,1,424,9,600004,94,expert
27,54,0,1,434,9,600004,95,expert
48,67,0,1,444,9,600004,96,expert
56,66,0,1,453,9,600004,98,expert
83,84,0,1,463,9,600004,99,expert
100,66,0,1,473,10,52548,100,expert
90,61,0,0,482,5,060437,101,expert
100,60,0,0,482,10,64037,102,expert
69,47,0,0,482,10,79507,103,expert
41,35,0,0,482,10,7999,104,expert
35,50,0,0,482,10,8,105,expert
21,51,0,0,482,10,8,105,expert
