Atencion Level, Meditation Level, Blink, Life, Distance, Speed, Time played, Difficulty
30,44,0,3,5,5,16,easy
34,51,0,3,10,5,17,easy
30,50,0,3,16,5,18,easy
30,50,0,3,21,5,19,easy
50,53,0,3,26,5,20,easy
43,53,0,3,31,5,21,easy
50,64,0,3,36,5,22,easy
35,78,0,3,41,5,23,easy
30,77,0,3,46,5,25,easy
43,61,0,3,52,7,769973,26,hard
48,35,0,3,60,8,387225,27,hard
63,27,0,3,69,8,399606,28,hard
48,23,0,3,77,8,39999,29,hard
51,29,0,3,86,8,399996,30,hard
48,43,0,3,94,8,399996,31,hard
61,57,0,3,103,8,399996,32,hard
56,67,0,3,112,8,399996,33,hard
44,69,0,3,120,8,399996,34,hard
48,69,0,3,129,8,399996,35,hard
43,69,0,3,138,8,399996,36,hard
44,54,0,3,146,8,399996,37,hard
61,60,0,3,155,8,399996,38,hard
57,48,0,3,163,8,399996,39,hard
63,64,0,3,172,8,399996,40,hard
67,75,0,2,181,8,399996,41,hard
64,81,0,2,189,8,399996,42,hard
74,100,0,2,198,8,399996,43,hard
87,93,0,2,206,8,399996,44,hard
69,81,0,2,215,8,399996,45,hard
67,77,0,2,224,9,50428,46,hard
70,75,0,2,234,9,597339,47,hard
60,74,0,2,244,9,599919,48,hard
60,80,0,2,254,9,599997,49,hard
67,83,0,2,263,9,599997,50,hard
61,70,0,2,273,9,599997,51,hard
63,64,0,2,283,9,599997,52,hard
67,70,0,2,293,9,599997,53,hard
57,69,0,2,303,9,599997,54,hard
56,70,0,2,313,9,599997,55,hard
41,61,0,1,322,9,020602,56,hard
54,51,0,1,331,9,000515,57,hard
48,54,0,1,341,9,000011,58,hard
56,53,0,1,350,9,000004,59,hard
56,53,0,1,359,9,000004,60,hard
66,87,0,1,368,9,000004,61,hard
88,87,0,1,377,9,000004,62,hard
90,94,0,1,386,9,000004,63,hard
100,75,0,1,396,9,000004,64,hard
100,64,0,1,405,10,12454,65,expert
91,69,0,1,416,11,36059,66,expert
83,78,0,1,428,11,39865,67,expert
87,81,0,1,439,11,39995,68,expert
80,81,0,1,451,11,4,69,expert
80,77,0,0,459,7,425066,71,expert
75,87,0,0,459,11,31045,72,expert
69,80,0,0,459,11,39723,73,expert
54,61,0,0,459,11,39992,74,expert
60,54,0,0,459,11,4,75,expert
57,30,0,0,459,11,4,75,expert
